report_type,baseline_server_id,server_id,server_name,suite_name,scenario_name,point_label,method,success,mean_ms,p95_ms,non_empty_rate,result_metric_name,result_metric_label,result_metric_value,result_metric_delta,validation_passed,validation_failure_count
benchmark,pyright,pyright,Pyright,data_science,,dataframe completion,textDocument/completion,True,6.180123600002219,10.527028200003485,1.0,completion_item_count,Completions found,201.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,dataframe completion,textDocument/completion,True,1.6936474000033286,1.9350992000113365,1.0,completion_item_count,Completions found,225.0,24.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,dataframe completion,textDocument/completion,True,37.52472979999766,147.72094459998468,1.0,completion_item_count,Completions found,250.0,49.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,data_science,,dataframe completion,textDocument/completion,True,48.13406079999254,59.26743959998362,1.0,completion_item_count,Completions found,181.0,-20.0,True,0
benchmark,pyright,pyright,Pyright,data_science,,dataframe describe hover,textDocument/hover,True,1.0578778000009947,1.1270404000029544,1.0,hover_text_char_count,Hover length,4019.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,dataframe describe hover,textDocument/hover,True,0.21736780000765066,0.23467979998486044,1.0,hover_text_char_count,Hover length,3908.0,-111.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,dataframe describe hover,textDocument/hover,True,3.8602127999922686,12.220412199985729,1.0,hover_text_char_count,Hover length,8341.0,4322.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,data_science,,dataframe describe hover,textDocument/hover,True,190.29965040000434,243.47532640000506,1.0,hover_text_char_count,Hover length,4134.0,115.0,True,0
benchmark,pyright,pyright,Pyright,data_science,,summarize definition,textDocument/definition,True,0.3597729999981425,0.4111821999956078,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,summarize definition,textDocument/definition,True,0.15672540001219204,0.1693936000094709,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,summarize definition,textDocument/definition,True,0.385034399999995,0.6714202000011937,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,data_science,,summarize definition,textDocument/definition,True,0.8724186000051759,0.9199758000136171,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyright,Pyright,data_science,,edit array then complete (edit+completion),textDocument/completion,True,194.86356719999804,302.9679241999971,1.0,completion_item_count,Completions found,169.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,edit array then complete (edit+completion),textDocument/completion,True,17.213500999991993,18.104955599989125,1.0,completion_item_count,Completions found,167.0,-2.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,edit array then complete (edit+completion),textDocument/completion,True,31.017391400007455,36.61988020000422,1.0,completion_item_count,Completions found,149.0,-20.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,data_science,,edit array then complete (edit+completion),textDocument/completion,False,3.570608000006814,3.7547148000157904,0.0,completion_item_count,Completions found,0.0,-169.0,False,10
benchmark,pyright,pyright,Pyright,data_science,,edit array then hover (edit+hover),textDocument/hover,True,26.63856999999865,31.71976940000007,1.0,hover_text_char_count,Hover length,278.0,0.0,True,0
benchmark,pyright,ty,Ty,data_science,,edit array then hover (edit+hover),textDocument/hover,True,1.764020199988181,1.8558105999829877,1.0,hover_text_char_count,Hover length,376.0,98.0,True,0
benchmark,pyright,pyrefly,Pyrefly,data_science,,edit array then hover (edit+hover),textDocument/hover,True,0.6425727999953779,1.745609400006742,1.0,hover_text_char_count,Hover length,354.0,76.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,data_science,,edit array then hover (edit+hover),textDocument/hover,True,176.6299705999984,202.8750769999874,1.0,hover_text_char_count,Hover length,5644.0,5366.0,True,0
benchmark,pyright,pyright,Pyright,django,,queryset completion,textDocument/completion,True,4.72756920000279,7.49284120000766,1.0,completion_item_count,Completions found,10.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,queryset completion,textDocument/completion,True,5.93552960000352,8.524284600008514,1.0,completion_item_count,Completions found,254.0,244.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,queryset completion,textDocument/completion,True,22.236207800011698,87.55723740001143,1.0,completion_item_count,Completions found,38.0,28.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,django,,queryset completion,textDocument/completion,True,153.00386399999866,423.27440040000386,1.0,completion_item_count,Completions found,2.0,-8.0,True,0
benchmark,pyright,pyright,Pyright,django,,queryset filter hover,textDocument/hover,True,0.5369106000046031,0.5968920000100297,1.0,hover_text_char_count,Hover length,57.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,queryset filter hover,textDocument/hover,True,0.17000259999804257,0.20563219998734894,1.0,hover_text_char_count,Hover length,46.0,-11.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,queryset filter hover,textDocument/hover,True,0.2035521999971479,0.2574491999780548,1.0,hover_text_char_count,Hover length,298.0,241.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,django,,queryset filter hover,textDocument/hover,True,158.24010260000136,161.52805800001033,1.0,hover_text_char_count,Hover length,57.0,0.0,True,0
benchmark,pyright,pyright,Pyright,django,,model definition,textDocument/definition,True,0.4129753999990271,0.4536738000041396,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,model definition,textDocument/definition,True,0.14080460000513995,0.1464814000030401,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,model definition,textDocument/definition,True,0.15357479999238421,0.17713939998884598,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,django,,model definition,textDocument/definition,True,0.8683192000091822,0.9026518000155193,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyright,Pyright,django,,edit queryset then complete (edit+completion),textDocument/completion,True,22.37318260000052,25.98065800000029,1.0,completion_item_count,Completions found,105.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,edit queryset then complete (edit+completion),textDocument/completion,True,2.8023258000018814,3.169592000006105,1.0,completion_item_count,Completions found,104.0,-1.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,edit queryset then complete (edit+completion),textDocument/completion,True,2.805137600000762,4.749423400005526,1.0,completion_item_count,Completions found,83.0,-22.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,django,,edit queryset then complete (edit+completion),textDocument/completion,True,254.9899995999965,293.98657320001575,1.0,completion_item_count,Completions found,143.0,38.0,True,0
benchmark,pyright,pyright,Pyright,django,,edit queryset then hover (edit+hover),textDocument/hover,True,41.73309679999875,49.27524880001215,1.0,hover_text_char_count,Hover length,83.0,0.0,True,0
benchmark,pyright,ty,Ty,django,,edit queryset then hover (edit+hover),textDocument/hover,True,1.2547342000004846,1.3124125999979697,1.0,hover_text_char_count,Hover length,100.0,17.0,True,0
benchmark,pyright,pyrefly,Pyrefly,django,,edit queryset then hover (edit+hover),textDocument/hover,True,0.19205340000212345,0.20918540000707253,1.0,hover_text_char_count,Hover length,144.0,61.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,django,,edit queryset then hover (edit+hover),textDocument/hover,True,182.10564199999908,183.08426679999457,1.0,hover_text_char_count,Hover length,71.0,-12.0,True,0
benchmark,pyright,pyright,Pyright,pandas,,report dataframe completion,textDocument/completion,True,86.798970199996,291.90020739999335,1.0,completion_item_count,Completions found,274.2,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,report dataframe completion,textDocument/completion,True,17.690028799995616,21.63917579999861,1.0,completion_item_count,Completions found,1000.0,725.8,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,report dataframe completion,textDocument/completion,True,41.90255120000188,166.22801620000584,1.0,completion_item_count,Completions found,39.0,-235.2,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,pandas,,report dataframe completion,textDocument/completion,True,60.490833599999405,112.20725180000386,1.0,completion_item_count,Completions found,6.0,-268.2,True,0
benchmark,pyright,pyright,Pyright,pandas,,dataframe groupby hover,textDocument/hover,True,0.8914307999987159,1.0822175999948058,1.0,hover_text_char_count,Hover length,350.0,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,dataframe groupby hover,textDocument/hover,True,0.22890700000175457,0.3011533999938365,1.0,hover_text_char_count,Hover length,308.0,-42.0,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,dataframe groupby hover,textDocument/hover,True,1.783664000004137,2.085163200001716,1.0,hover_text_char_count,Hover length,3120.0,2770.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,pandas,,dataframe groupby hover,textDocument/hover,True,182.5783061999914,184.59162699999183,1.0,hover_text_char_count,Hover length,301.0,-49.0,True,0
benchmark,pyright,pyright,Pyright,pandas,,build report definition,textDocument/definition,True,0.43160879999959434,0.507568400001901,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,build report definition,textDocument/definition,True,0.1659086000017851,0.17639319999034342,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,build report definition,textDocument/definition,True,0.17935540000166839,0.23559760001603533,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,pandas,,build report definition,textDocument/definition,True,0.971359600004007,1.174555599999394,1.0,location_count,Definitions found,1.0,0.0,True,0
benchmark,pyright,pyright,Pyright,pandas,,edit dataframe then complete (edit+completion),textDocument/completion,True,448.1808401999956,858.3473151999954,1.0,completion_item_count,Completions found,441.0,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,edit dataframe then complete (edit+completion),textDocument/completion,True,12.384970000005069,12.661569000010786,1.0,completion_item_count,Completions found,448.0,7.0,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,edit dataframe then complete (edit+completion),textDocument/completion,True,28.776435800006084,55.553209800007146,1.0,completion_item_count,Completions found,256.0,-185.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,pandas,,edit dataframe then complete (edit+completion),textDocument/completion,True,192.77811339999857,195.12644020000494,1.0,completion_item_count,Completions found,442.0,1.0,True,0
benchmark,pyright,pyright,Pyright,pandas,,edit dataframe then hover (edit+hover),textDocument/hover,True,8.338227400000164,10.148540800003047,1.0,hover_text_char_count,Hover length,4292.0,0.0,True,0
benchmark,pyright,ty,Ty,pandas,,edit dataframe then hover (edit+hover),textDocument/hover,True,1.2719370000013441,1.3183935999961705,1.0,hover_text_char_count,Hover length,281.0,-4011.0,True,0
benchmark,pyright,pyrefly,Pyrefly,pandas,,edit dataframe then hover (edit+hover),textDocument/hover,True,0.2316240000027392,0.24653740000530888,1.0,hover_text_char_count,Hover length,328.0,-3964.0,True,0
benchmark,pyright,pylsp-mypy,pylsp-mypy,pandas,,edit dataframe then hover (edit+hover),textDocument/hover,True,174.8486982000088,175.3108425999983,1.0,hover_text_char_count,Hover length,232.0,-4060.0,True,0
benchmark,pyright,pyright,Pyright,sqlalchemy,,query completion,textDocument/completion,True,10.184436000002961,13.789775200004328,1.0,completion_item_count,Completions found,1.0,0.0,True,0
benchmark,pyright,ty,Ty,sqlalchemy,,query completion,textDocument/completion,True,4.293708799991691,9.88505120000127,1.0,completion_item_count,Completions found,1.0,0.0,True,0
benchmark,pyright,pyrefly,Pyrefly,sqlalchemy,,query completion,textDocument/completion,True,70.83295839998982,276.3066149999872,1.0,completion_item_count,Completions found,38.0,37.0,True,0
